Question,Answer,Faker1,Faker2,Faker3
What used to be the currency of Italy?,Lira,Rupee,Laos Kip,Pentagon
In what country was pesetas the currency?,Spain,Datsun,Mammoth,South African rand
Which country is the largest producer of olive oil?,Spain,Exxon Mobil,Singer,Sand
What is the world s largest office building?,Pentagon,Walmart,In London,South Korea
Which currency is at home on the Johannesburg Stock Exchange?,South African rand,Agnelli,Stockton to Darlington,Switzerland
What is the main component in glass?,Sand,Drachme,Brazil,Albanese lek
Which country is the origin of the car brands Daewoo and Kia?,South Korea,Lira,Rupee,Qantas
Where does a car with the letters CH come from?,Switzerland,Spain,Fourteen digits,Fort Knox
What is the national currency of Albania?,Albanese lek,Spain,Rupee,Laos Kip
What is the national airline of Australia?,Qantas,Pentagon,Datsun,Mammoth
In which military camp is the US gold reserve stored?,Fort Knox,South African rand,Exxon Mobil,Singer
What is the national currency of Laos?,Laos Kip,Sand,Walmart,In London
Which prehistoric animal does also indicate a large tanker?,Mammoth,South Korea,Agnelli,Stockton to Darlington
What is the brand of the oldest sewing machines?,Singer,Switzerland,Drachme,Brazil
Where was built the first subway?,In London,Albanese lek,Lira,Rupee
Between which two places did the first railway track in the UK run?,Stockton to Darlington,Qantas,Spain,Fourteen digits
In which country is Varig Airlines based?,Brazil,Fort Knox,Spain,Rupee
What is Pakistan s currency?,Rupee,Laos Kip,Pentagon,Datsun
How many digits does an IBAN number consist of?,Fourteen digits,Mammoth,South African rand,Exxon Mobil
What is the official currency in Nepal?,Rupee,Singer,Sand,Walmart
Which Japanse car brand did exist from 1932 until 1983?,Datsun,In London,South Korea,Agnelli
What is the biggest oil company in the United States?,Exxon Mobil,Stockton to Darlington,Switzerland,Drachme
Which company was establised in the year 1962 by Sam Walton and is one of the biggest employers in the world?,Walmart,Brazil,Albanese lek,Lira
Which Italian family is in charge of FIAT?,Agnelli,Rupee,Qantas,Spain
What was the currency of Greece before the introduction of the EURO?,Drachme,Fourteen digits,Fort Knox,Spain
